source_host,url,canonical_url,title,description,start_date,end_date,venue,address,city_guess,price,currency,image,images,organizer,tags,scraped_at
www.district.in,https://www.district.in/events/food-drinks-in-gurgaon-book-tickets,https://www.district.in/events/food-drinks-in-gurgaon-book-tickets,Book Tickets for Food Drinks in Gurgaon Now! | District,Discover and book tickets for the best Food Drinks events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.628Z
www.district.in,https://www.district.in/events/fests-fairs-in-gurgaon-book-tickets,https://www.district.in/events/fests-fairs-in-gurgaon-book-tickets,Book Tickets for Fests Fairs in Gurgaon Now! | District,Discover and book tickets for the best Fests Fairs events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.743Z
www.district.in,https://www.district.in/events/screenings-in-gurgaon-book-tickets,https://www.district.in/events/screenings-in-gurgaon-book-tickets,Book Tickets for Screenings in Gurgaon Now! | District,Discover and book tickets for the best Screenings events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.924Z
www.district.in,https://www.district.in/events/fitness-events-in-gurgaon-book-tickets,https://www.district.in/events/fitness-events-in-gurgaon-book-tickets,Book Tickets for Fitness Events in Gurgaon Now! | District,Discover and book tickets for the best Fitness Events events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:37.939Z
www.district.in,https://www.district.in/events/conferences-in-gurgaon-book-tickets,https://www.district.in/events/conferences-in-gurgaon-book-tickets,Book Tickets for Conferences in Gurgaon Now! | District,Discover and book tickets for the best Conferences events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:38.053Z
www.district.in,https://www.district.in/events/openmics-in-gurgaon-book-tickets,https://www.district.in/events/openmics-in-gurgaon-book-tickets,Book Tickets for Openmics in Gurgaon Now! | District,Discover and book tickets for the best Openmics events in Gurgaon. Don&#x27;t miss out on the latest happenings in your city!,,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:38.111Z
www.district.in,https://www.district.in/events/messi-2025-india-tour-ticket-booking/,https://www.district.in/events/messi-2025-india-tour-ticket-booking/,,,,,,,,,,,,,,2026-05-17T11:02:38.364Z
www.district.in,https://www.district.in/events/,https://www.district.in/events/,Get Upcoming Events Tickets & Enjoy Live Events | District,"Discover and book tickets for upcoming events effortlessly. Secure your spot for music, plays, workshops, comedy shows, and more on District.in",,,,,,,,https://b.zmtcdn.com/data/edition_assets/1731516000703.png,"[""https://b.zmtcdn.com/data/edition_assets/1731516000703.png""]",,,2026-05-17T11:02:38.573Z
www.district.in,https://www.district.in/events/niladri-kumaar/artist,https://www.district.in/events/niladri-kumaar/artist,"Niladri Kumaar Shows, Tickets and More. Follow Now!","Niladri Kumaar, one of India’s most celebrated contemporary classical artists. A sitar virtuoso and visionary composer, he is the creator of the Zitar, a groundbreaking fusion of sitar and guitar that has reimagined the possibilities of Indian classical music.

Trained in the rich legacy of Hindustani classical tradition, his artistry bridges heritage and innovation with effortless finesse. His work transcends genres, weaving together classical depth, global influences, and a distinctly modern sensibility, establishing him as a pioneering force shaping the future of Indian sound.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777536623/ogn5fkljkvanltt4pkui.jpg","[""https://media.insider.in/image/upload/c_crop,g_custom,q_auto/v1777536623/ogn5fkljkvanltt4pkui.jpg""]",,,2026-05-17T11:02:38.451Z
www.district.in,https://www.district.in/events/kanha-kamboj/artist,https://www.district.in/events/kanha-kamboj/artist,"Kanha Kamboj Shows, Tickets and More. Follow Now!","Kanha Kamboj is a poet–musician whose work blends shayari and singing into intimate, emotionally driven performances. Known for his soft delivery and sufi-tinged sound, his words move gently between spoken poetry and melody, creating experiences that feel personal and reflective. His live sets are shaped like modern mehfils — minimal, honest, and rooted in feeling rather than spectacle.",,,,,,,,"https://media.insider.in/image/upload/c_crop,g_custom/v1767783193/fktxyamgix3dubr7ikaz.png","[""https://media.insider.in/image/upload/c_crop,g_custom/v1767783193/fktxyamgix3dubr7ikaz.png""]",,,2026-05-17T11:02:38.815Z
